Date,RIO.AX,TLS.AX,WES.AX,CPU.AX,SEK.AX,WOW.AX,CBA.AX,WBC.AX
7/12/11,43.70302963,2.077135086,13.57254601,6.061954975,4.902985573,18.0715847,29.87285233,13.33393574
8/12/11,43.59746933,2.089918613,13.53437424,6.07699728,4.894895554,18.06454659,29.58108711,13.28457546
9/12/11,42.04725647,2.064353704,13.35199356,5.994266033,4.838259697,18.01530647,29.0809269,13.0007391
12/12/11,42.30452347,2.096309185,13.10599041,6.039391041,5.008166313,18.25448227,29.67041016,13.13648605
13/12/11,41.40077972,2.089918613,13.03388596,5.9641819,5.000074387,18.40923882,29.38460159,12.85265636
14/12/11,41.66464233,2.089918613,13.06357479,6.009307384,5.016256809,18.25448227,29.40245628,12.83414459
15/12/11,40.50363922,2.083527088,13.05085182,5.979222775,5.040528297,18.24040985,28.95589638,12.62435627
16/12/11,40.76749039,2.089918613,12.9363327,5.888969898,4.991984844,18.47254372,29.25360107,12.65520382
19/12/11,39.71203232,2.064353704,12.60126019,5.866407394,4.668355465,18.21930504,28.75343895,12.37137413
20/12/11,39.72522354,2.083527088,12.59701729,5.934096813,4.546993732,18.01530647,28.77130127,12.38371372
21/12/11,40.72131348,2.102700949,12.87271118,6.01682806,4.692627907,18.23337364,29.37864304,12.63669491
22/12/11,40.0088768,2.109092236,12.74971104,6.054434299,4.595538616,18.01530647,29.36673927,12.55648041
23/12/11,40.79388809,2.115483046,12.77091503,6.054434299,4.619810104,18.12785912,29.70613098,12.75392723
28/12/11,39.92312241,2.128265142,12.73274517,6.054434299,4.6279006,17.78316307,29.3607769,12.42073727
29/12/11,39.77799988,2.134656191,12.62670994,6.031871319,4.579357624,17.72689247,29.37268639,12.4330759
30/12/11,39.77799988,2.128265142,12.51218987,6.024349689,4.587447643,17.65654564,29.30719566,12.34052467
3/1/12,40.50363922,2.147438526,12.6224699,6.07699728,4.652173519,17.73392677,29.53941536,12.43924618
4/1/12,41.65804672,2.179394722,13.0423708,6.092039108,4.741170406,18.08564949,29.76567268,12.64286613
5/1/12,41.46014404,2.153829813,12.95329857,6.009307384,4.652173519,17.91682816,29.56322861,12.5256319
6/1/12,41.24245834,2.128265142,12.88119602,5.949138641,4.63599205,17.8183403,29.47986794,12.3528614
9/1/12,40.9983902,2.153829813,12.89391804,5.994266033,4.595538616,17.8183403,29.4143734,12.33435345
10/1/12,41.69103622,2.166612387,12.99571419,6.122123241,4.595538616,17.93792152,29.64063644,12.46393013
11/1/12,42.34410477,2.128265142,13.0593338,6.099559307,4.6279006,18.02234077,29.73590469,12.72924995
12/1/12,42.70032501,2.102700949,12.93208981,5.949138641,4.587447643,18.10675049,29.71803856,12.71690464
13/1/12,43.01696777,2.102700949,12.89391804,5.866407394,4.546993732,18.05751419,29.81331253,12.76010036
16/1/12,42.80586243,2.102700949,12.72425938,5.866407394,4.409451485,17.90275574,29.47986794,12.56882381
17/1/12,43.34019852,2.147438526,12.95754147,5.956660271,4.466086864,17.98716545,29.6763649,12.74775791
18/1/12,43.93390656,2.147438526,12.92785168,6.009307384,4.514630795,17.91682816,29.6763649,12.69222736
19/1/12,44.03284836,2.109092236,12.88119602,5.881450653,4.441813469,17.67764854,29.65254402,12.71073723
20/1/12,44.54740143,2.128265142,12.82605553,5.911535263,4.449904919,17.51585579,29.67041016,12.76010036
23/1/12,44.78487396,2.121874332,12.83878326,5.866407394,4.441813469,17.39627075,29.61681557,12.62435627
24/1/12,45.0883255,2.128265142,12.83453846,5.843844414,4.279999733,17.36813545,29.65254402,12.69839764
25/1/12,45.0883255,2.134656191,12.88543892,5.858886242,4.296181202,17.52289581,30.36706543,13.14265633
27/1/12,46.03165817,2.121874332,12.86423016,5.828803062,4.336634159,17.42440796,30.46233368,13.13648605
30/1/12,45.51709747,2.115483046,12.79636478,5.776154995,4.27190876,17.19930649,30.39088249,13.01925182
31/1/12,45.62265778,2.128265142,12.85150242,5.753592491,4.255726814,17.43847466,30.164608,13.05010319
1/2/12,45.34559631,2.109092236,12.60126019,5.700944424,4.239545822,17.37517166,30.03361511,12.86499405
2/2/12,46.65174103,2.147438526,12.68184853,5.904012203,4.174819946,17.30481911,30.164608,12.90818691
3/2/12,46.50660706,2.134656191,12.49946404,5.904012203,4.207182884,17.16413116,30.11102676,12.82797337
6/2/12,47.69400787,2.160221338,12.49522877,5.934096813,4.37708807,17.12192726,30.27179146,12.97605991
7/2/12,46.84304428,2.192177296,12.52915668,5.941618919,4.360906601,17.07971954,30.07530403,12.90818691
8/2/12,47.33779526,2.198568344,12.60974312,6.054434299,4.409451485,17.09378815,29.96216393,12.89584827
9/2/12,47.2322464,2.153829813,12.61822605,6.01682806,4.474176884,17.09378815,30.01575661,13.00690937
10/2/12,46.16358185,2.173003435,12.4485693,6.039391041,4.449904919,17.19930649,29.70017433,12.86499405
13/2/12,46.46043777,2.192177296,12.5927763,6.069476128,4.449904919,17.38220215,29.94430351,13.05010319
14/2/12,45.70181274,2.179394722,12.53339863,6.01682806,4.409451485,17.57916832,29.74781418,12.89584827
15/2/12,45.43134689,2.185786009,12.66063976,5.941618919,4.409451485,17.67764854,29.90857887,12.93286896
16/2/12,44.38247681,2.166612387,12.33829212,5.858886242,4.482268333,17.43144035,29.68231201,12.47626972
17/2/12,43.91411591,2.179394722,12.48674297,5.956660271,4.571265221,17.48772049,29.58108711,12.4330759
20/2/12,44.88382721,2.212719202,12.66063976,6.01682806,4.555084705,17.70579147,30.06481934,12.74158859
21/2/12,45.62265778,2.232712984,13.00432396,6.024349689,4.611720085,17.8042717,30.29138184,12.74775791
22/2/12,45.2070694,2.206054449,12.82011223,6.009307384,5.10525465,17.55103111,30.39547729,12.81563568
23/2/12,44.53420258,2.166064739,12.7674818,5.949138641,5.161889553,17.59323502,30.32199287,12.74775791
24/2/12,44.91680908,2.172730207,12.82011223,5.821280956,5.36415863,17.69875336,30.43221283,12.82180309
27/2/12,44.46164322,2.15273571,12.7718668,5.843204975,5.347976208,17.58620262,30.27301407,12.77861214
28/2/12,44.65954208,2.172730207,12.63151455,5.896812439,5.404611588,17.55103111,30.09544182,12.76010036
29/2/12,45.05498505,2.199389696,12.7630949,5.927445412,5.477427483,17.8042717,30.2668972,12.89584827
1/3/12,44.25341797,2.199389696,12.82888508,5.973395824,5.372248173,17.79723549,30.04033279,12.77244186
2/3/12,44.03965759,2.212719202,12.85081291,5.958079338,5.412703037,17.86054611,30.07707024,12.80946255
5/3/12,43.47855377,2.199389696,12.92099285,6.049976826,5.339886189,17.75503349,30.05869675,12.80946255
6/3/12,42.49663162,2.166064739,12.77625179,6.164849758,5.283250809,17.61433983,29.74641418,12.68605709
7/3/12,41.69506454,2.15273571,12.53502655,6.134217739,5.26706934,17.69171715,29.18308258,12.5256319
8/3/12,41.85536957,2.166064739,12.56572723,6.103583813,5.178071499,17.64247704,29.41576767,12.59350109
9/3/12,42.83729935,2.166064739,12.50871086,6.088267803,5.226615906,17.74096107,29.44025612,12.76627159
12/3/12,42.57678986,2.146070242,12.40344715,6.126559734,5.323703766,17.67061234,29.29330063,12.65520382
13/3/12,42.98424911,2.159400225,12.62713051,6.226114273,5.396521091,17.88165092,29.61783028,12.79712296
14/3/12,43.61883926,2.159400225,12.71923542,6.570734501,5.728240967,18.00123215,29.8811264,12.89584827
15/3/12,43.3716774,2.166064739,12.65783405,6.509469986,5.671606064,17.95199394,29.99134445,12.90818691
16/3/12,43.49860001,2.172730207,12.74993992,6.4328866,5.614971161,18.05751419,29.97910118,13.03776264
19/3/12,43.98622131,2.15273571,12.84204197,6.586051464,5.614971161,18.02581596,30.02195549,13.09329414
20/3/12,43.82590866,2.139405966,12.68414783,6.639658451,5.598789215,17.96100044,29.94235802,13.08095646
21/3/12,43.64554596,2.132741213,12.54379845,6.593708515,5.574517727,17.95379639,29.77704239,12.98840046
22/3/12,43.19800949,2.146070242,12.58765888,6.54776001,5.54421711,17.98980522,30.01583862,13.13648605
23/3/12,42.5500679,2.159400225,12.6490612,6.601366997,5.609731197,17.93939781,30.1015625,13.18584919
26/3/12,42.58347702,2.146070242,12.61397266,6.54776001,5.576975346,17.90338898,30.29750633,13.22287083
27/3/12,42.81725693,2.15273571,12.72362232,6.685606956,5.732573509,18.09062767,30.53018188,13.40797806
28/3/12,43.10448456,2.186059475,12.93853283,6.739213467,5.724382877,18.29947662,30.84858704,13.53755188
29/3/12,42.99093246,2.199389696,13.03940868,6.86940527,5.732573509,18.46511459,30.89145279,13.50053215
30/3/12,43.6856308,2.192724705,13.16660118,6.892379761,5.765330315,18.70997429,30.67714119,13.50670147
2/4/12,44.21333694,2.179395199,13.1183548,6.785163403,5.871792316,18.46511459,30.58529282,13.40180683
3/4/12,44.61412048,2.219383717,13.15344524,6.708582401,5.847223759,18.50832748,30.64040184,13.46351147
4/4/12,44.34692764,2.239377737,13.16221523,6.823454857,5.740762234,18.57313919,30.55468178,13.64861965
5/4/12,43.6121521,2.232712984,13.1315155,6.838771343,5.69981575,18.50832748,30.65264511,13.60542679
10/4/12,43.3182373,2.232712984,12.96484756,6.800481796,5.650678635,18.37150002,30.60977745,13.54372406
11/4/12,42.42983627,2.219383717,12.81572819,6.540102482,5.48689127,18.36429024,30.37098122,13.51286888
